,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,2,15,None,Disney-Hyperion,,THE HAMMER OF THOR,Rick Riordan
1,2,5,58,037589988X,Knopf,,WONDER,R.J. Palacio
2,3,3,37,None,Disney-Hyperion,,THE HIDDEN ORACLE,Rick Riordan
3,4,0,55,1484719328,Disney-Hyperion,,THE SWORD OF SUMMER,Rick Riordan
4,5,1,18,None,Scholastic,,THE FINISHER,David Baldacci
