,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,1451654685,Simon & Schuster,A biography of the influential Sioux leader Red Cloud examines his military prowess and the Plains Indians’ changing way of life.,THE HEART OF EVERYTHING THAT IS,Bob Drury and Tom Clavin
1,2,0,0,1416591060,Scribner,"The story of Quanah Parker, the last chief of the Comanches.",EMPIRE OF THE SUMMER MOON,SC Gwynne
2,3,0,0,1453275134,Holt,"The settling of the American west, through the eyes of chiefs and warriors of the Dakota, Navajo, Sioux, Ute, Cheyenne and other tribes; originally published in 1970.",BURY MY HEART AT WOUNDED KNEE,Dee Brown
3,4,0,0,1497659272,Open Road,The parallel lives of two American warriors in 1876 at the battle of the Little Bighorn.,CRAZY HORSE AND CUSTER,Stephen Ambrose
4,5,0,0,0785820213,Chartwell Books,A three-volume set of artistic and anthropological records; first published between 1836-1844.,HISTORY OF THE INDIAN TRIBES OF NORTH AMERICA,Thomas McKenney and James Hall
