,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,1,0062412388,Katherine Tegen,,BURNING GLASS,Kathryn Purdie
1,2,0,2,0062380966,HarperTeen,,FLAMECASTER,Cinda Williams Chima
2,3,0,1,None,Margaret McHeyzer,,MISTRUST,Margaret McHeyzer
3,4,0,1,0553522337,Delacorte,,AND I DARKEN,Kiersten White
4,5,0,1,1466867337,Tor Teen,,WINDWITCH,Susan Dennard
